scenario,scheme,row,resolution,benefit_2050
46,All economies,Rest of Europe,aggregate,0.116
46,All economies,Rest of LDC in Africa,aggregate,0.155
46,All economies,Rest of Middle East and North Africa,aggregate,0.084
46,All economies,Rest of Oceania,aggregate,0.296
46,All economies,Rest of Western Africa,aggregate,1.602
46,All economies,Rest of developing economies in Europe and Central Asia,aggregate,0.032
46,All economies,Rest of landlocked economies in Africa,aggregate,0.184
46,All economies,Rest of the world,aggregate,-0.012
46,All economies,Romania,individual,0.086
46,All economies,Russian Federation,individual,0.050
46,All economies,Saudi Arabia,individual,0.091
46,All economies,Serbia,individual,0.078
46,All economies,Singapore,individual,0.114
46,All economies,Slovenia,individual,-0.028
46,All economies,South Africa,individual,0.094
46,All economies,Spain,individual,0.043
46,All economies,Sri Lanka,individual,0.063
46,All economies,Sweden,individual,0.025
46,All economies,Syrian Arab Republic,individual,-0.470
46,All economies,Thailand,individual,0.142
46,All economies,Trinidad and Tobago,individual,0.070
46,All economies,Tunisia,individual,0.140
46,All economies,Türkiye,individual,0.081
46,All economies,Ukraine,individual,0.134
46,All economies,United Arab Emirates,individual,0.188
46,All economies,United Kingdom of Great Britain and Northern Ireland,individual,0.029
46,All economies,United Republic of Tanzania,individual,0.269
46,All economies,United States of America,individual,0.019
46,All economies,Uruguay,individual,0.028
46,All economies,Uzbekistan,individual,0.011
46,All economies,Venezuela (Bolivarian Republic of),individual,0.023
46,All economies,Viet Nam,individual,0.720
46,All economies,Zimbabwe,individual,0.115
46,"Developing economies, LDCs and SIDS",Albania,individual,0.054
46,"Developing economies, LDCs and SIDS",Algeria,individual,0.088
46,"Developing economies, LDCs and SIDS",Argentina,individual,0.033
46,"Developing economies, LDCs and SIDS",Armenia,individual,0.060
46,"Developing economies, LDCs and SIDS",Australia,individual,0.050
46,"Developing economies, LDCs and SIDS",Bahrain,individual,0.118
46,"Developing economies, LDCs and SIDS",Bangladesh,individual,0.067
46,"Developing economies, LDCs and SIDS",Belgium,individual,-0.029
46,"Developing economies, LDCs and SIDS",Bolivia (Plurinational State of),individual,0.036
46,"Developing economies, LDCs and SIDS",Botswana,individual,0.043
46,"Developing economies, LDCs and SIDS",Brazil,individual,0.045
46,"Developing economies, LDCs and SIDS",Brunei Darussalam,individual,0.090
46,"Developing economies, LDCs and SIDS",Bulgaria,individual,0.109
46,"Developing economies, LDCs and SIDS",Cameroon,individual,0.098
46,"Developing economies, LDCs and SIDS",Canada,individual,-0.013
46,"Developing economies, LDCs and SIDS",Chile,individual,0.075
46,"Developing economies, LDCs and SIDS",China,individual,0.049
46,"Developing economies, LDCs and SIDS",Colombia,individual,0.062
46,"Developing economies, LDCs and SIDS",Costa Rica,individual,0.081
46,"Developing economies, LDCs and SIDS",Croatia,individual,-0.020
46,"Developing economies, LDCs and SIDS",Cyprus,individual,0.040
46,"Developing economies, LDCs and SIDS",Côte d'Ivoire,individual,0.139
46,"Developing economies, LDCs and SIDS",Denmark,individual,-0.034
46,"Developing economies, LDCs and SIDS",Dominican Republic,individual,0.061
46,"Developing economies, LDCs and SIDS",Ecuador,individual,0.072
46,"Developing economies, LDCs and SIDS",Egypt,individual,0.116
46,"Developing economies, LDCs and SIDS",El Salvador,individual,0.102
46,"Developing economies, LDCs and SIDS",Equatorial Guinea,individual,0.002
46,"Developing economies, LDCs and SIDS",Estonia,individual,-0.051
46,"Developing economies, LDCs and SIDS",Eswatini,individual,0.040
46,"Developing economies, LDCs and SIDS",Finland,individual,0.016
46,"Developing economies, LDCs and SIDS",France,individual,-0.002
46,"Developing economies, LDCs and SIDS",Gabon,individual,0.093
46,"Developing economies, LDCs and SIDS",Georgia,individual,0.103
46,"Developing economies, LDCs and SIDS",Germany,individual,0.032
46,"Developing economies, LDCs and SIDS",Ghana,individual,0.189
46,"Developing economies, LDCs and SIDS",Greece,individual,0.004
46,"Developing economies, LDCs and SIDS",Guatemala,individual,0.093
46,"Developing economies, LDCs and SIDS",Honduras,individual,0.211
46,"Developing economies, LDCs and SIDS",India,individual,0.041
46,"Developing economies, LDCs and SIDS",Indonesia,individual,0.059
46,"Developing economies, LDCs and SIDS",Iran (Islamic Republic of),individual,0.038
46,"Developing economies, LDCs and SIDS",Iraq,individual,0.095
46,"Developing economies, LDCs and SIDS",Ireland,individual,0.096
46,"Developing economies, LDCs and SIDS",Israel,individual,0.034
46,"Developing economies, LDCs and SIDS",Italy,individual,0.021
46,"Developing economies, LDCs and SIDS",Japan,individual,0.036
46,"Developing economies, LDCs and SIDS",Jordan,individual,0.093
46,"Developing economies, LDCs and SIDS",Kenya,individual,0.319
46,"Developing economies, LDCs and SIDS",Kuwait,individual,0.114
46,"Developing economies, LDCs and SIDS",Latvia,individual,-0.073
46,"Developing economies, LDCs and SIDS",Lithuania,individual,-0.003
46,"Developing economies, LDCs and SIDS",Madagascar,individual,0.205
46,"Developing economies, LDCs and SIDS",Malaysia,individual,0.201
46,"Developing economies, LDCs and SIDS",Malta,individual,-0.096
46,"Developing economies, LDCs and SIDS",Mauritius,individual,0.081
46,"Developing economies, LDCs and SIDS",Mexico,individual,0.012
46,"Developing economies, LDCs and SIDS",Morocco,individual,0.117
46,"Developing economies, LDCs and SIDS",Namibia,individual,0.116
46,"Developing economies, LDCs and SIDS",Netherlands (Kingdom of the),individual,-0.005
46,"Developing economies, LDCs and SIDS",New Zealand,individual,0.043
46,"Developing economies, LDCs and SIDS",Nicaragua,individual,0.270
46,"Developing economies, LDCs and SIDS",Nigeria,individual,0.099
46,"Developing economies, LDCs and SIDS",Norway,individual,0.031
46,"Developing economies, LDCs and SIDS",Oman,individual,0.127
46,"Developing economies, LDCs and SIDS",Pakistan,individual,0.113
46,"Developing economies, LDCs and SIDS",Panama,individual,-0.006
46,"Developing economies, LDCs and SIDS",Paraguay,individual,0.075
46,"Developing economies, LDCs and SIDS",Peru,individual,0.068
46,"Developing economies, LDCs and SIDS",Philippines,individual,0.113
46,"Developing economies, LDCs and SIDS",Poland,individual,0.032
46,"Developing economies, LDCs and SIDS",Portugal,individual,0.027
46,"Developing economies, LDCs and SIDS",Qatar,individual,0.097
46,"Developing economies, LDCs and SIDS",Republic of Korea,individual,0.096
46,"Developing economies, LDCs and SIDS",Rest of American SIDS,aggregate,0.100
46,"Developing economies, LDCs and SIDS",Rest of Asia,aggregate,0.068
46,"Developing economies, LDCs and SIDS",Rest of Asian SIDS and LDCs,aggregate,0.359
46,"Developing economies, LDCs and SIDS",Rest of Caribbean,aggregate,0.069
46,"Developing economies, LDCs and SIDS",Rest of Europe,aggregate,0.114
46,"Developing economies, LDCs and SIDS",Rest of LDC in Africa,aggregate,0.165
46,"Developing economies, LDCs and SIDS",Rest of Middle East and North Africa,aggregate,0.088
46,"Developing economies, LDCs and SIDS",Rest of Oceania,aggregate,0.318
46,"Developing economies, LDCs and SIDS",Rest of Western Africa,aggregate,1.743
46,"Developing economies, LDCs and SIDS",Rest of developing economies in Europe and Central Asia,aggregate,0.032
46,"Developing economies, LDCs and SIDS",Rest of landlocked economies in Africa,aggregate,0.196
46,"Developing economies, LDCs and SIDS",Rest of the world,aggregate,-0.012
46,"Developing economies, LDCs and SIDS",Romania,individual,0.083
46,"Developing economies, LDCs and SIDS",Russian Federation,individual,0.051
46,"Developing economies, LDCs and SIDS",Saudi Arabia,individual,0.093
46,"Developing economies, LDCs and SIDS",Serbia,individual,0.078
46,"Developing economies, LDCs and SIDS",Singapore,individual,0.114
46,"Developing economies, LDCs and SIDS",Slovenia,individual,-0.039
46,"Developing economies, LDCs and SIDS",South Africa,individual,0.097
46,"Developing economies, LDCs and SIDS",Spain,individual,0.037
46,"Developing economies, LDCs and SIDS",Sri Lanka,individual,0.065
46,"Developing economies, LDCs and SIDS",Sweden,individual,0.022
46,"Developing economies, LDCs and SIDS",Syrian Arab Republic,individual,-0.532
46,"Developing economies, LDCs and SIDS",Thailand,individual,0.142
46,"Developing economies, LDCs and SIDS",Trinidad and Tobago,individual,0.071
46,"Developing economies, LDCs and SIDS",Tunisia,individual,0.140
46,"Developing economies, LDCs and SIDS",Türkiye,individual,0.082
46,"Developing economies, LDCs and SIDS",Ukraine,individual,0.148
46,"Developing economies, LDCs and SIDS",United Arab Emirates,individual,0.187
46,"Developing economies, LDCs and SIDS",United Kingdom of Great Britain and Northern Ireland,individual,0.025
46,"Developing economies, LDCs and SIDS",United Republic of Tanzania,individual,0.290
46,"Developing economies, LDCs and SIDS",United States of America,individual,0.019
46,"Developing economies, LDCs and SIDS",Uruguay,individual,0.014
46,"Developing economies, LDCs and SIDS",Uzbekistan,individual,0.013
46,"Developing economies, LDCs and SIDS",Venezuela (Bolivarian Republic of),individual,0.024
46,"Developing economies, LDCs and SIDS",Viet Nam,individual,0.747
46,"Developing economies, LDCs and SIDS",Zimbabwe,individual,0.124
46,SIDS and LDCs,Albania,individual,0.019
46,SIDS and LDCs,Algeria,individual,0.078
46,SIDS and LDCs,Argentina,individual,0.024
46,SIDS and LDCs,Armenia,individual,0.058
46,SIDS and LDCs,Australia,individual,0.055
46,SIDS and LDCs,Bahrain,individual,0.121
46,SIDS and LDCs,Bangladesh,individual,0.071
46,SIDS and LDCs,Belgium,individual,-0.031
46,SIDS and LDCs,Bolivia (Plurinational State of),individual,0.029
46,SIDS and LDCs,Botswana,individual,0.044
46,SIDS and LDCs,Brazil,individual,0.019
46,SIDS and LDCs,Brunei Darussalam,individual,0.093
46,SIDS and LDCs,Bulgaria,individual,0.074
46,SIDS and LDCs,Cameroon,individual,0.054
46,SIDS and LDCs,Canada,individual,-0.012
46,SIDS and LDCs,Chile,individual,0.079
46,SIDS and LDCs,China,individual,0.039
46,SIDS and LDCs,Colombia,individual,0.037
46,SIDS and LDCs,Costa Rica,individual,0.052
46,SIDS and LDCs,Croatia,individual,-0.024
46,SIDS and LDCs,Cyprus,individual,0.044
46,SIDS and LDCs,Côte d'Ivoire,individual,0.105
46,SIDS and LDCs,Denmark,individual,-0.041
46,SIDS and LDCs,Dominican Republic,individual,0.098
46,SIDS and LDCs,Ecuador,individual,0.046
46,SIDS and LDCs,Egypt,individual,0.113
46,SIDS and LDCs,El Salvador,individual,0.052
46,SIDS and LDCs,Equatorial Guinea,individual,0.050
46,SIDS and LDCs,Estonia,individual,-0.045
46,SIDS and LDCs,Eswatini,individual,0.044
46,SIDS and LDCs,Finland,individual,0.009
46,SIDS and LDCs,France,individual,-0.007
46,SIDS and LDCs,Gabon,individual,0.120
46,SIDS and LDCs,Georgia,individual,0.094
46,SIDS and LDCs,Germany,individual,0.026
46,SIDS and LDCs,Ghana,individual,0.111
46,SIDS and LDCs,Greece,individual,-0.005
46,SIDS and LDCs,Guatemala,individual,0.054
46,SIDS and LDCs,Honduras,individual,0.125
46,SIDS and LDCs,India,individual,0.059
46,SIDS and LDCs,Indonesia,individual,0.060
46,SIDS and LDCs,Iran (Islamic Republic of),individual,0.046
46,SIDS and LDCs,Iraq,individual,0.092
46,SIDS and LDCs,Ireland,individual,0.095
46,SIDS and LDCs,Israel,individual,0.033
46,SIDS and LDCs,Italy,individual,0.017
46,SIDS and LDCs,Japan,individual,0.036
46,SIDS and LDCs,Jordan,individual,0.100
46,SIDS and LDCs,Kenya,individual,0.177
46,SIDS and LDCs,Kuwait,individual,0.117
46,SIDS and LDCs,Latvia,individual,-0.072
46,SIDS and LDCs,Lithuania,individual,-0.010
46,SIDS and LDCs,Madagascar,individual,0.500
46,SIDS and LDCs,Malaysia,individual,0.194
46,SIDS and LDCs,Malta,individual,-0.049
46,SIDS and LDCs,Mauritius,individual,0.124
46,SIDS and LDCs,Mexico,individual,0.001
46,SIDS and LDCs,Morocco,individual,0.105
46,SIDS and LDCs,Namibia,individual,0.138
46,SIDS and LDCs,Netherlands (Kingdom of the),individual,-0.009
46,SIDS and LDCs,New Zealand,individual,0.042
46,SIDS and LDCs,Nicaragua,individual,0.135
46,SIDS and LDCs,Nigeria,individual,0.044
46,SIDS and LDCs,Norway,individual,0.030
46,SIDS and LDCs,Oman,individual,0.143
46,SIDS and LDCs,Pakistan,individual,0.056
46,SIDS and LDCs,Panama,individual,0.009
46,SIDS and LDCs,Paraguay,individual,0.045
46,SIDS and LDCs,Peru,individual,0.062
46,SIDS and LDCs,Philippines,individual,0.108
46,SIDS and LDCs,Poland,individual,0.030
46,SIDS and LDCs,Portugal,individual,0.037
46,SIDS and LDCs,Qatar,individual,0.099
46,SIDS and LDCs,Republic of Korea,individual,0.093
46,SIDS and LDCs,Rest of American SIDS,aggregate,0.224
46,SIDS and LDCs,Rest of Asia,aggregate,0.069
46,SIDS and LDCs,Rest of Asian SIDS and LDCs,aggregate,1.074
46,SIDS and LDCs,Rest of Caribbean,aggregate,0.225
46,SIDS and LDCs,Rest of Europe,aggregate,0.110
46,SIDS and LDCs,Rest of LDC in Africa,aggregate,0.462
46,SIDS and LDCs,Rest of Middle East and North Africa,aggregate,0.066
46,SIDS and LDCs,Rest of Oceania,aggregate,0.948
46,SIDS and LDCs,Rest of Western Africa,aggregate,5.928
46,SIDS and LDCs,Rest of developing economies in Europe and Central Asia,aggregate,0.021
46,SIDS and LDCs,Rest of landlocked economies in Africa,aggregate,0.579
46,SIDS and LDCs,Rest of the world,aggregate,-0.011
46,SIDS and LDCs,Romania,individual,0.077
46,SIDS and LDCs,Russian Federation,individual,0.050
46,SIDS and LDCs,Saudi Arabia,individual,0.098
46,SIDS and LDCs,Serbia,individual,0.062
46,SIDS and LDCs,Singapore,individual,0.125
46,SIDS and LDCs,Slovenia,individual,-0.035
46,SIDS and LDCs,South Africa,individual,0.079
46,SIDS and LDCs,Spain,individual,0.032
46,SIDS and LDCs,Sri Lanka,individual,0.031
46,SIDS and LDCs,Sweden,individual,0.018
46,SIDS and LDCs,Syrian Arab Republic,individual,0.091
46,SIDS and LDCs,Thailand,individual,0.127
46,SIDS and LDCs,Trinidad and Tobago,individual,0.101
46,SIDS and LDCs,Tunisia,individual,0.122
46,SIDS and LDCs,Türkiye,individual,0.083
46,SIDS and LDCs,Ukraine,individual,0.021
46,SIDS and LDCs,United Arab Emirates,individual,0.210
46,SIDS and LDCs,United Kingdom of Great Britain and Northern Ireland,individual,0.027
46,SIDS and LDCs,United Republic of Tanzania,individual,0.902
46,SIDS and LDCs,United States of America,individual,0.019
46,SIDS and LDCs,Uruguay,individual,0.019
46,SIDS and LDCs,Uzbekistan,individual,0.038
46,SIDS and LDCs,Venezuela (Bolivarian Republic of),individual,0.018
46,SIDS and LDCs,Viet Nam,individual,0.426
46,SIDS and LDCs,Zimbabwe,individual,0.085
